Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,13.705200,14.024500,13.605100,14.024500,12.216205,24586019
2016-03-03,15.276700,15.276700,15.276700,15.276700,13.306951,43775099
2016-03-04,15.276700,16.892099,15.276700,16.854500,14.681310,69659003
2016-03-07,16.841999,16.841999,16.028000,16.378700,14.266860,26598172
2016-03-08,16.278500,16.873301,16.190800,16.460100,14.337763,36899792
2016-03-09,16.729300,17.029800,15.715000,15.715000,13.688736,39030617
2016-03-10,16.059299,16.447500,15.664900,16.184601,14.097786,33822307
2016-03-11,16.184601,16.829500,16.146999,16.760599,14.599518,31173830
2016-03-14,16.816900,17.324100,16.622801,16.654100,14.506751,25401390
2016-03-15,16.040600,16.266001,15.546000,15.777600,13.743263,25313703
2016-03-16,15.452000,15.546000,14.775900,15.427000,13.437870,34860487
2016-03-17,17.029800,17.511900,16.203400,17.436800,15.188531,54000054
2016-03-18,17.355400,17.593300,16.810699,17.205099,14.986707,35831425
2016-03-21,17.217600,17.593300,17.123699,17.493099,15.237570,17597790
2016-03-22,17.336599,17.524401,17.192600,17.311600,15.079472,23192622
2016-03-23,17.073601,17.161301,16.535200,16.748100,14.588633,18110651
2016-03-24,16.278500,16.597799,16.228399,16.441299,14.321385,14892293
2016-03-28,17.148800,17.443001,16.760599,17.242701,15.019456,22418299
2016-03-29,17.324100,17.655899,16.841999,17.543200,15.281205,19343050
2016-03-30,17.693501,18.031601,17.468100,17.568199,15.302990,18842807
2016-03-31,16.942200,16.942200,16.942200,16.942200,14.757702,113721
2016-04-01,17.280199,17.280199,17.280199,17.280199,15.052124,23319
2016-04-04,16.566500,16.566500,16.566500,16.566500,14.446306,185754
2016-04-05,16.641600,16.641600,16.641600,16.641600,14.511793,41048
2016-04-06,16.203400,16.203400,16.203400,16.203400,14.129676,93276
2016-04-07,16.328600,16.328600,16.328600,16.328600,14.238853,15014
2016-04-08,16.967199,17.305300,16.879499,17.161301,14.964984,17220691
2016-04-11,17.449301,17.449301,17.449301,17.449301,15.216127,40888
2016-04-12,18.269501,18.269501,18.269501,18.269501,15.931361,75867
2016-04-13,20.096399,20.096399,20.096399,20.096399,17.524443,234788
2016-04-14,18.507401,18.657600,17.737301,17.969000,15.669312,22681358
2016-04-15,18.100401,18.200600,17.850000,18.050301,15.740215,18661845
2016-04-18,17.906300,18.250700,17.534401,17.947701,15.650740,16869046
2016-04-19,17.989000,17.989000,17.989000,17.989000,15.686754,28895
2016-04-20,17.892599,18.044100,17.617100,17.975201,15.674726,15437083
2016-04-22,17.562000,17.809900,17.458700,17.596399,15.344406,11482706
2016-04-25,17.562000,17.727301,17.079901,17.190100,14.990098,12599875
2016-04-26,17.320900,17.899500,17.141899,17.809900,15.530574,11553854
2016-04-27,17.809900,18.581301,17.809900,18.436600,16.077076,20367785
2016-04-28,17.906300,18.381500,17.637699,18.057800,15.746758,30373517
2016-04-29,18.216200,18.278200,17.630800,17.837500,15.554647,20433270
2016-05-02,17.844400,17.927000,17.279600,17.486200,15.248302,13272006
2016-05-03,17.100500,17.451799,16.942200,17.107401,14.934188,21947561
2016-05-04,17.190100,17.837500,17.183201,17.837500,15.571546,19522721
2016-05-05,17.982100,18.147400,17.231400,17.389799,15.180713,16213903
2016-05-06,17.210699,17.727301,17.183201,17.472500,15.252913,9374257
2016-05-09,17.231400,17.768600,16.742399,17.582600,15.349026,27403451
2016-05-10,17.789301,18.340200,17.679100,18.340200,16.010386,17775384
2016-05-11,18.588200,18.891199,18.354000,18.519300,16.166731,18495286
2016-05-12,18.732800,19.146000,18.292000,18.918699,16.515390,20569177
2016-05-13,18.787901,18.911800,17.837500,18.154301,15.848101,18600120
2016-05-16,18.030300,18.285101,17.775499,17.837500,15.571546,10620654
2016-05-17,17.933901,18.009600,17.238300,17.258900,15.066446,10805348
2016-05-18,17.073000,17.768600,17.045500,17.334700,15.132620,17222898
2016-05-19,17.183201,17.231400,16.838800,16.976601,14.820003,13451183
2016-05-20,17.197001,17.279600,16.701099,16.790600,14.657640,7744823
2016-05-23,16.432501,17.011000,16.315399,16.838800,14.699707,11889992
2016-05-24,17.024799,17.155600,16.687300,16.887100,14.741877,8848343
2016-05-25,17.045500,17.238300,16.790600,16.818199,14.681727,9630680
2016-05-27,16.845699,17.052299,16.460100,16.577101,14.471255,9188982
2016-05-30,16.528900,16.701099,16.411800,16.528900,14.429183,3197594
2016-05-31,16.425600,16.652901,15.309900,15.702500,13.707760,44317363
2016-06-01,15.909100,16.143200,15.557800,15.991700,13.960219,20693323
2016-06-02,15.978000,16.597799,15.874700,16.494499,14.416253,16839425
2016-06-03,16.597799,16.859501,16.398100,16.577101,14.488446,14563850
2016-06-06,16.659800,16.701099,16.157000,16.480700,14.404190,11406622
2016-06-07,16.425600,16.735500,16.287901,16.694201,14.590796,10651727
2016-06-08,16.804399,17.348499,16.701099,17.217600,15.048244,20154196
2016-06-09,17.114300,17.300301,16.845699,17.245199,15.072373,11160217
2016-06-10,17.004101,17.107401,16.549601,16.556499,14.470444,8828015
2016-06-13,16.425600,16.928400,16.281000,16.832001,14.711228,12414019
2016-06-14,16.783800,17.079901,16.205200,16.501400,14.422280,17733857
2016-06-15,16.597799,16.825100,16.281000,16.528900,14.446322,27523241
2016-06-16,16.260300,16.838800,16.122601,16.776899,14.663072,14890986
2016-06-17,17.011000,17.100500,16.480700,16.673500,14.572701,17792663
2016-06-20,17.045500,17.203899,16.838800,16.948999,14.813488,15371308
2016-06-21,16.763100,17.217600,16.646000,17.148800,14.988121,15242225
2016-06-22,17.183201,17.562000,16.983500,17.114300,14.957962,14889534
2016-06-23,17.279600,17.699699,17.059200,17.541300,15.503068,11967094
2016-06-24,16.832001,17.183201,16.763100,17.107401,15.119589,24729448
2016-06-27,17.121201,17.224501,16.329201,16.432501,14.523111,25488408
2016-06-28,16.866400,16.976601,16.597799,16.838800,14.882200,15438100
2016-06-29,17.059200,17.279600,16.935301,17.245199,15.241377,15798631
2016-06-30,17.155600,17.651501,17.079901,17.341600,15.326579,29215547
2016-07-01,17.410500,17.727301,17.183201,17.644600,15.594369,18368090
2016-07-04,17.775499,17.927000,17.685900,17.706600,15.666012,5633324
2016-07-05,17.630800,17.823700,17.382900,17.699699,15.659909,8251861
2016-07-06,17.527500,17.761700,17.231400,17.699699,15.659909,10632560
2016-07-07,17.685900,18.030300,17.575800,17.768600,15.720868,11378308
2016-07-08,17.906300,18.278200,17.809900,18.257601,16.153509,16376672
2016-07-11,18.319599,18.519300,18.071600,18.464199,16.336294,10212352
2016-07-12,18.594999,18.698400,18.236900,18.312700,16.202267,17224786
2016-07-13,18.264500,18.719000,18.167999,18.719000,16.561739,14536553
2016-07-14,18.939400,19.497200,18.939400,19.490400,17.244247,29631835
2016-07-15,19.490400,19.697001,19.325100,19.490400,17.244247,14270837
2016-07-18,19.462799,19.972500,19.435301,19.896700,17.603716,18482363
2016-07-19,19.841600,19.910500,19.648800,19.820900,17.536652,10698626
2016-07-20,19.903601,20.075800,19.600500,19.993099,17.689007,13613662
2016-07-21,19.972500,20.089500,19.511000,19.841600,17.554972,17412094
2016-07-22,19.841600,20.110201,19.676300,19.972500,17.670778,10012992
2016-07-25,20.068899,20.151501,19.703899,19.910500,17.615917,9269713
2016-07-26,19.903601,20.027500,19.703899,19.752100,17.475780,8976990
2016-07-27,19.814100,20.144600,19.745199,19.820900,17.536652,15081779
2016-07-28,19.628099,19.697001,18.753401,18.939400,16.756737,34580977
2016-07-29,18.905001,19.628099,18.870501,19.531700,17.280779,17355030
2016-08-01,19.593700,19.958700,19.511000,19.559200,17.305111,9938650
2016-08-02,19.393900,19.717600,18.987600,19.304399,17.096262,20572952
2016-08-03,19.214899,19.772699,19.146000,19.752100,17.492750,13048398
2016-08-04,19.834700,20.144600,19.800301,19.965599,17.681829,14993352
2016-08-05,20.006901,20.172199,19.710699,20.089500,17.791557,10856023
2016-08-08,19.944901,20.089500,19.807199,19.889799,17.614704,8041321
2016-08-09,19.951799,20.089500,19.690100,19.786501,17.523212,9181432
2016-08-10,19.834700,19.951799,19.208000,19.504101,17.273123,13403557
2016-08-11,19.524799,20.096399,19.373301,20.082600,17.785442,14039969
2016-08-12,19.965599,20.316799,19.938000,20.110201,17.809887,10593647
2016-08-15,20.172199,20.502800,20.089500,20.406300,18.072117,7952168
2016-08-16,20.296101,20.371901,20.020700,20.096399,17.797665,17406721
2016-08-17,20.034401,20.323700,19.786501,20.323700,17.998972,13898544
2016-08-18,20.247900,20.468300,20.096399,20.378799,18.047760,10770210
2016-08-19,20.282400,20.344400,19.944901,20.261700,17.944061,10331706
2016-08-22,20.179100,20.247900,19.641899,19.717600,17.462196,8856474
2016-08-23,19.903601,20.082600,19.490400,19.504101,17.273123,17509813
2016-08-24,19.421499,19.552299,19.159800,19.366400,17.151171,10319800
2016-08-25,19.421499,19.628099,19.297501,19.455900,17.230433,9417236
2016-08-26,19.593700,20.055099,19.373301,19.724501,17.468309,16598102
2016-08-29,19.800301,20.213499,19.607401,20.082600,17.785442,8576964
2016-08-30,20.179100,20.241100,19.910500,20.144600,17.840357,7332455
2016-08-31,20.151501,20.502800,19.786501,20.013800,17.724516,19658338
2016-09-01,20.096399,20.130800,19.703899,19.814100,17.547657,17851759
2016-09-02,19.979300,20.454500,19.938000,20.378799,18.065065,16590262
2016-09-05,20.454500,20.647400,20.213499,20.447701,18.126139,5828473
2016-09-06,20.585400,20.661200,20.268600,20.661200,18.315399,9630535
2016-09-08,20.578501,20.978001,20.371901,20.936600,18.559536,19909098
2016-09-09,20.592300,20.654301,19.745199,19.779600,17.533895,18975462
2016-09-12,19.683201,19.855400,19.455900,19.848499,17.594978,15907676
2016-09-13,19.524799,19.586800,18.829201,19.021999,16.862309,23838210
2016-09-14,19.208000,19.387100,19.008301,19.180401,17.002729,15844224
2016-09-15,19.208000,19.814100,19.159800,19.703899,17.466793,16036178
2016-09-16,19.573000,19.669399,19.132200,19.345699,17.149258,22003898
2016-09-19,19.655600,19.814100,19.256201,19.448999,17.240829,11870681
2016-09-20,19.593700,19.772699,19.517900,19.662500,17.430092,11128564
2016-09-21,19.896700,20.082600,19.455900,20.048201,17.771999,20791043
2016-09-22,20.261700,20.523399,20.192801,20.433901,18.113911,12721698
2016-09-23,20.365000,20.502800,20.185900,20.475201,18.150524,14042873
2016-09-26,20.220400,20.302999,20.130800,20.220400,17.924644,6681233
2016-09-27,20.316799,20.661200,20.062000,20.640499,18.297058,17513298
2016-09-28,20.688700,20.833300,20.420099,20.764500,18.406969,13689746
